-168.0,-77.0
178.0,-168.0,-70.0
181.0,-171.0,-75.0
185.0,-163.0,-75.0
153.0,-150.0,-38.0
146.0,-274.0,-125.0
317.0,-258.0,-30.0
142.0,-181.0,-8.0
92.0,-204.0,-21.0
86.0,-204.0,-34.0
41.0,-186.0,-27.0
38.0,-218.0,50.0
53.0,-252.0,77.0
78.0,-301.0,-4.0
43.0,-319.0,-31.0
19.0,-233.0,-48.0
10.0,-245.0,-34.0
0.0,-217.0,-33.0
21.0,-198.0,-14.0
18.0,416.0,511.0
511.0,-169.0,244.0
-452.0,-80.0,-76.0
-200.0,66.0,-82.0
-286.0,12.0,-47.0
-244.0,-3.0,-50.0
-277.0,13.0,-39.0
-257.0,15.0,-34.0
-234.0,7.0,-39.0
-239.0,8.0,-41.0
-243.0,7.0,-40.0
-241.0,6.0,-40.0
-242.0,8.0,-39.0
-242.0,8.0,-40.0
-241.0,7.0,-38.0
-241.0,7.0,-38.0
-242.0,7.0,-40.0
-241.0,8.0,-39.0
-242.0,15.0,-34.0
-243.0,21.0,-32.0
-247.0,59.0,-59.0
-238.0,65.0,-54.0
-234.0,92.0,-50.0
-221.0,95.0,-63.0
-229.0,96.0,-52.0
-227.0,94.0,-56.0
-221.0,77.0,-40.0
-228.0,78.0,-38.0
-231.0,77.0,-40.0
-228.0,78.0,-38.0
-228.0,68.0,-35.0
-232.0,67.0,-36.0
-233.0,63.0,-37.0
-234.0,63.0,-37.0
-231.0,64.0,-37.0
-233.0,64.0,-38.0
-233.0,49.0,-36.0
-239.0,52.0,-38.0
-236.0,46.0,-36.0
-234.0,44.0,-39.0
-230.0,-247.0,49.0
58.0,-242.0,42.0
58.0,-242.0,34.0
59.0,-240.0,29.0
57.0,-236.0,22.0
55.0,-228.0,14.0
56.0,-228.0,17.0
57.0,-233.0,25.0
57.0,-234.0,29.0
55.0,-240.0,37.0
52.0,-246.0,44.0
53.0,-248.0,44.0
53.0,-245.0,45.0
56.0,-246.0,43.0
58.0,-244.0,42.0
59.0,-245.0,34.0
58.0,-245.0,23.0
59.0,-245.0,19.0
61.0,-245.0,18.0
62.0,-242.0,18.0
60.0,-241.0,20.0
59.0,-241.0,21.0
58.0,-240.0,21.0
59.0,-242.0,26.0
58.0,-248.0,26.0
55.0,-251.0,28.0
53.0,-249.0,27.0
50.0,-242.0,23.0
49.0,-241.0,23.0
47.0,-245.0,26.0
50.0,-247.0,29.0
53.0,-247.0,36.0
54.0,-242.0,41.0
49.0,-244.0,44.0
43.0,-248.0,40.0
40.0,-255.0,37.0
39.0,-259.0,33.0
42.0,-258.0,34.0
43.0,-258.0,30.0
42.0,-256.0,26.0
40.0,-253.0,12.0
38.0,-249.0,6.0
40.0,-240.0,-5.0
47.0,-234.0,-9.0
51.0,-233.0,-10.0
54.0,-234.0,-9.0
54.0,-235.0,-12.0
55.0,-237.0,-12.0
56.0,-240.0,-16.0
61.0,-244.0,-19.0
63.0,-238.0,-23.0
60.0,-234.0,-24.0
58.0,-228.0,-24.0
57.0,-220.0,-29.0
59.0,-217.0,-30.0
63.0,-218.0,-27.0
64.0,-226.0,-29.0
70.0,-238.0,-31.0
76.0,-244.0,-30.0
76.0,-252.0,-27.0
73.0,-259.0,-29.0
75.0,-263.0,-39.0
83.0,-268.0,-46.0
83.0,-271.0,-52.0
77.0,-257.0,-53.0
75.0,-245.0,-52.0
75.0,-243.0,-48.0
73.0,-239.0,-32.0
71.0,-233.0,-19.0
69.0,-231.0,-16.0
65.0,-232.0,-21.0
64.0,-230.0,-32.0
65.0,-232.0,-44.0
68.0,-235.0,-52.0
71.0,-239.0,-60.0
72.0,-244.0,-66.0
75.0,-248.0,-62.0
73.0,-246.0,-57.0
72.0,-236.0,-46.0
69.0,-240.0,-42.0
70.0,-248.0,-37.0
76.0,-246.0,-34.0
79.0,-247.0,-29.0
77.0,-249.0,-26.0
67.0,-252.0,-29.0
60.0,-249.0,-32.0
60.0,-234.0,-30.0
63.0,-231.0,-20.0
62.0,-225.0,-11.0
62.0,-223.0,-9.0
62.0,-227.0,-17.0
60.0,-228.0,-30.0
61.0,-226.0,-37.0
62.0,-228.0,-44.0
64.0,-235.0,-49.0
65.0,-244.0,-46.0
66.0,-247.0,-44.0
67.0,-247.0,-35.0
70.0,-244.0,-28.0
67.0,-241.0,-22.0
62.0,-239.0,-19.0
58.0,-238.0,-12.0
55.0,-241.0,-9.0
57.0,-242.0,-13.0
57.0,-240.0,-18.0
57.0,-235.0,-23.0
58.0,-236.0,-22.0
62.0,-238.0,-21.0
63.0,-240.0,-22.0
63.0,-236.0,-24.0
65.0,-235.0,-23.0
65.0,-235.0,-24.0
64.0,-231.0,-22.0
65.0,-221.0,-19.0
63.0,-217.0,-18.0
55.0,-212.0,-20.0
50.0,-206.0,-27.0
50.0,-202.0,-37.0
61.0,-201.0,-42.0
68.0,-202.0,-44.0
75.0,-216.0,-42.0
80.0,-235.0,-43.0
80.0,-242.0,-42.0
79.0,-238.0,-30.0
71.0,-221.0,-15.0
58.0,-199.0,-15.0
44.0,-186.0,-16.0
36.0,-150.0,-17.0
24.0,-114.0,-18.0
15.0,-69.0,-19.0
17.0,-42.0,-18.0
21.0,-4.0,-6.0
21.0,0.0,-7.0
19.0,-1.0,-14.0
12.0,0.0,-11.0
10.0,-17.0,-5.0
6.0,-34.0,-9.0
4.0,-49.0,-16.0
1.0,-95.0,-36.0
-2.0,-172.0,-65.0
1.0,-219.0,-81.0
10.0,-316.0,-101.0
24.0,-323.0,-81.0
50.0,-257.0,-44.0
60.0,-198.0,-32.0
60.0,-120.0,-7.0
60.0,-139.0,-6.0
61.0,-176.0,-17.0
60.0,-264.0,-49.0
60.0,-347.0,-96.0
71.0,-512.0,-18.0
71.0,-488.0,-25.0
29.0,-392.0,-14.0
44.0,-311.0,-52.0
114.0,-297.0,-55.0
162.0,-299.0,-55.0
170.0,-309.0,-36.0
150.0,-303.0,-18.0
139.0,-270.0,-11.0
130.0,-235.0,-15.0
137.0,-246.0,-19.0
159.0,-261.0,-25.0
181.0,-313.0,-38.0
211.0,-420.0,-60.0
245.0,-512.0,-100.0
243.0,-512.0,-120.0
229.0,-512.0,-71.0
138.0,-272.0,-85.0
136.0,-169.0,-106.0
89.0,-153.0,-103.0
64.0,-205.0,-91.0
25.0,-325.0,-86.0
38.0,-384.0,-74.0
95.0,-387.0,-80.0
115.0,-304.0,-87.0
111.0,-221.0,-93.0
